5,4,1,3,2
"('学期', 0.03966254228366255)","('有效途径', 0.0316667527329393)","('北美地区', 0.020917447426396917)","('主楼', 0.03453749392745098)",
"('解放思想', 0.03966254228366255)","('奖学金', 0.0316667527329393)","('多轮', 0.020660161505973024)","('第十三次', 0.03431202702712418)",
"('中亚地区', 0.039492232752139915)","('数据分析', 0.031608129286709266)","('新机遇', 0.020505936635838152)","('维度', 0.03431202702712418)",
"('高层次', 0.039382486879382714)","('必由之路', 0.031608129286709266)","('超大规模', 0.020433219240847785)","('逻辑思维', 0.03420487074346405)",
"('新学', 0.039223167899218106)","('工科', 0.03149401400683706)","('窗口期', 0.020433219240847785)","('工学', 0.03420487074346405)",
"('黑山', 0.03882621207127572)","('民情', 0.031123944308690095)","('中华人民', 0.020433219240847785)","('资源管理', 0.034000555851307186)",
"('研讨', 0.03855176197045267)","('授课', 0.031074410166389777)","('今世', 0.020230212466859344)","('第十三', 0.03390299714836601)",
"('仿真', 0.03846420066)","('建言', 0.030977587963514377)","('互联', 0.020105860788439307)","('编委', 0.03390299714836601)",
"('理工', 0.03801332739860082)","('重塑', 0.030792325159520767)","('分布式', 0.019989050341811174)","('大数', 0.033808266635620914)",
"('下功夫', 0.037974686491810704)","('可视', 0.030747640680383385)","('大数', 0.01993319766955684)","('分选', 0.033808266635620914)",
"('充分肯定', 0.03789847641872428)","('主打', 0.030747640680383385)","('公共建筑', 0.01977474275953757)","('编委会', 0.03371620494607843)",
"('课堂', 0.037079541249999994)","('博士生', 0.03066010402162939)","('能源安全', 0.019492269784393064)","('交互式', 0.033626665814705886)",
"('办学', 0.036987748009218106)","('讲台', 0.03057490195428115)","('蓄势待发', 0.019492269784393064)","('委会', 0.03345462746993464)",
"('招收', 0.03672404901053498)","('透析', 0.030179969187603836)","('十四个', 0.019492269784393064)","('学社', 0.03337188953562092)",
"('导师', 0.036639775218971195)","('斩获', 0.03003472198610224)","('碳化', 0.019448969484007705)","('三等奖', 0.033212444554575164)",
"('领导班子', 0.03611816326160494)","('社交', 0.029895791916006387)","('征程', 0.019448969484007705)","('热点问题', 0.033212444554575164)",
"('教材', 0.03546285565119342)","('二等奖', 0.029895791916006387)","('第十四', 0.019448969484007705)","('管理学', 0.033060418359803924)",
"('困惑', 0.03546285565119342)","('课本', 0.029828528627827474)","('能源供应', 0.01940662091618497)","('学学', 0.0325779477753268)",
"('创意', 0.03489770638971193)","('二等', 0.029828528627827474)","('指导方针', 0.01940662091618497)","('第十五', 0.03245224097522876)",
"('出版社', 0.034702129674238684)","('学业', 0.0295728011272524)","('合理配置', 0.01940662091618497)","('奖学金', 0.0323911555732353)",
"('对接', 0.03463325398555556)","('绩优', 0.0295728011272524)","('重构', 0.01936518314123314)","('科研人员', 0.0323911555732353)",
"('用人', 0.03458234331967078)","('作主', 0.029542227801341855)","('迫切要求', 0.01932461780558767)","('数据分析', 0.03233119106777778)",
"('虚拟', 0.034548749448724284)","('余篇', 0.0295119442743131)","('攸关', 0.01932461780558767)","('联系方式', 0.032101765385849676)",
"('原地', 0.0341962579072428)","('大方向', 0.029481945103865818)","('大网', 0.01928488892851638)","('念及', 0.032101765385849676)",
"('系主任', 0.03415044786460905)","('师生', 0.029481945103865818)","('展布', 0.01928488892851638)","('科技进步', 0.0320468401625817)",
"('聚焦', 0.03415044786460905)","('四五', 0.029393601553290735)","('千伏', 0.019245962710115607)","('色散', 0.03199282283594771)",
"('神学', 0.03415044786460905)","('探究', 0.029115609933514374)","('新格局', 0.019245962710115607)","('试验区', 0.03199282283594771)",
"('会议室', 0.03413529047604938)","('交互', 0.02881110456674121)","('柔性', 0.019170392935240848)","('授课', 0.03178526268653595)",
"('班子', 0.03397214302193416)","('课堂', 0.028786992088658144)","('九章', 0.019170392935240848)","('可视', 0.031451018081568624)",
"('存量', 0.03391438451119341)","('一等奖', 0.02876306023009585)","('待发', 0.019133691210828516)","('博士生', 0.031361478950228755)",
"('拓宽', 0.03382923885991769)","('表征', 0.02866908615597444)","('攻坚', 0.019133691210828516)","('广播电视', 0.03127432781598039)",
"('短缺', 0.033505250527160496)","('高质量', 0.02866908615597444)","('能源技术', 0.019133691210828516)","('第十一', 0.030870360639607845)",
"('高地', 0.03340268506028807)","('突发', 0.028646018271086263)","('工业园区', 0.01895998967520231)","('二三', 0.030795231495098038)",
"('陕西省', 0.03325347622065844)","('教书', 0.02855537706619808)","('工业园', 0.018862820400385356)","('检索', 0.030721790789705883)",
"('高校', 0.03320491841436214)","('十余', 0.028467236630031947)","('三五', 0.018770317087899807)","('社交', 0.03057968258075163)",
"('活人', 0.032835799310000004)","('导师', 0.028445576288210865)","('不断丰富', 0.018770317087899807)","('二等奖', 0.03057968258075163)",
"('充分利用', 0.03269481597740741)","('散射', 0.028360374220862617)","('重大项目', 0.018711026801445086)","('科技部', 0.03057968258075163)",
"('着重', 0.03266295600148148)","('数字化', 0.028277385446421728)","('中式', 0.018711026801445086)","('学报', 0.03054510052411765)",
"('科学研究', 0.03251745304539094)","('本科', 0.028196497880958463)","('利用效率', 0.018711026801445086)","('二等', 0.030510880589901958)",
"('助理', 0.03249708059617284)","('突发事件', 0.028117607744888178)","('方兴未艾', 0.018711026801445086)","('西安市', 0.030377475379052284)",
"('针对性', 0.03227939769032922)","('界面', 0.027928505919361024)","('二十二', 0.018653506641233143)","('标签', 0.030066004203202615)",
"('传达', 0.03226016762572017)","('感知', 0.02787389111629393)","('第九章', 0.018625377933294798)","('第十', 0.029978071350522877)",
